,topic,topic_id,bias_id,title,source,bias,desc.,desc_word_count,processed_desc,kmean_clusters
1032,Gun Control and Gun Rights- Lean Left,72,1,CEO who threw chair inside Capitol on Jan. 6 gets jail time,Associated Press Politics & Fact Check, Lean Left,The former chief executive of a tech company in suburban Chicago who lost his job after he threw a chair inside the U.S. Capitol during the Jan. 6 riot was...,30,chief executive tech company suburban chicago lose job throw chair inside u.s. capitol jan. 6 riot ...,1
1033,Gun Control and Gun Rights- Right,72,5,Biden administration asks federal appeals court to lift order blocking COVID-19 vaccine mandate,Fox News (Online News), Right,The Biden administration is asking a federal court to lift an order that blocked its rule mandating that larger employers require workers to get...,24,biden administration ask federal court lift order block rule mandate large employer require worker ...,1
1034,Gun Control and Gun Rights - moderate,72,3,Who still thinks inflation is transitory?,Quartz,moderate,"Is inflation transitory? Executives are talking about it more than ever, but there’s little agreement on whether the spike in price increases will be sticky or...",26,inflation transitory executive talk ’ little agreement spike price increase sticky ...,1
1035,Gun Control and Gun Rights- Lean Left,72,1,A record number of Americans quit their jobs in September,CNN Business, Lean Left,A record 4.4 million Americans quit their jobs in September as the sheer volume of available jobs is empowering workers to have their pick....,24,record 4.4 million americans quit job september sheer volume available job empower worker pick ....,1
1036,Healthcare- Lean Right,73,4,"U.S. Is Becoming More Urban and More Ethnically Diverse, Says Census Bureau",Reason, Lean Right,"""U.S. population is much more multiracial and more diverse than what we measured in the past,"" said Nicholas Jones, the Census Bureau's director of...",24,u.s. population multiracial diverse measure past nicholas jones census bureau director ...,1
1037,Healthcare - moderate,73,3,What a changing population means for American politics,Yahoo! The 360,moderate,Data from the 2020 census released earlier this month shows that the United States has become significantly more diverse and more urban in the past...,25,datum 2020 census release early month united states significantly diverse urban past ...,1
1038,Healthcare- Lean Left,73,1,"US sees unprecedented multiracial growth, decline in the white population for first time in history",USA TODAY, Lean Left,The United States experienced unprecedented multiracial population growth and a decline in the white population for the first time in the nation’s history...,23,united states experience unprecedented multiracial population growth decline white population time nation history ...,1
1039,Healthcare- Right,73,5,Should the Undocumented be Counted as Legitimate Residents in a State? Much is On the Line,CBN, Right,The number of residents in a state determines the number of congressional representatives for each state and how much federal money it gets in some cases....,26,number resident state determine number congressional representative state federal money case ....,1
1040,Healthcare - moderate,73,3,Native American population jumps to largest size in modern history,Axios,moderate,"The number of people who identify as Native American or Alaska Native alone grew by 27.1% to 3.7 million people over the last decade, according to the U.S....",28,number people identify native american alaska native grow 27.1 3.7 million people decade accord u.s ....,1
1041,Healthcare- Left,73,2,House candidates declare campaigns for districts that don't exist yet amid redistricting delays,CNN (Online News), Left,"Loretta Smith and Wesley Hunt are members of different parties, separated by both distance and policy.

And yet, Smith, an Oregon Democrat, and Hunt, a Texas...",26,loretta smith wesley hunt member different party separate distance policy smith oregon democrat hunt texas ...,1
1042,Healthcare- Lean Right,73,4,Trump to Take Executive Action on Census Citizenship,Newsmax (News), Lean Right,President Donald Trump President Donald Trump will announce an executive action to continue his fight to include a citizenship question on the 2020 U.S. Census...,25,president donald trump president donald trump announce executive action continue fight include citizenship question 2020 u.s. census ...,0
1043,Healthcare - moderate,73,3,2020 Census Results Show Big Changes to America's Racial and Ethnic Makeup,AllSides Headline Roundup,moderate,"According to the 2020 United States Census, the U.S. is 57.8% white, 18.7% Hispanic, 12.4% Black and 6% Asian. The white population decreased in size by 8.6%,...",27,accord 2020 united states census u.s. 57.8 white 18.7 hispanic 12.4 black 6 asian white population decrease size 8.6 ...,1
1044,Healthcare- Lean Left,73,1,"No, the Census Bureau didn’t confirm a problem with the 2020 election results",PolitiFact, Lean Left,"The U.S. Census Bureau has been sucked into the swirl of misinformation surrounding the 2020 presidential election. 

""US Census Bureau confirms HUGE...",22,u.s. census bureau suck swirl misinformation surround 2020 presidential election census bureau confirm huge ...,1
1045,Healthcare- Lean Right,73,4,DOJ Appoints New Legal Team to Take on Census Question,Newsmax (News), Lean Right,"A new team of lawyers is taking over the U.S. census case for the Department of Justice, a shakeup that comes as President Donald Trump continues his push to...",29,new team lawyer u.s. census case department justice shakeup come president donald trump continue push ...,1
1046,Healthcare - moderate,73,3,What The New Census Data Shows About Race Depends On How You Look At It,NPR (Online News),moderate,"Over the past decade, the United States continued to grow more racially and ethnically diverse, according to the results of last year's national head count...",25,past decade united states continue grow racially ethnically diverse accord result year national head count ...,1
1047,Healthcare- Lean Left,73,1,Delayed census data kicks off flood of redistricting lawsuits,Politico, Lean Left,"States are months away from getting the census data they need to draw new political maps, but courts are already filling up with lawsuits challenging the...",26,state month away census datum need draw new political map court fill lawsuit challenge ...,1
1048,Healthcare- Lean Right,73,4,Trump claims executive privilege to withhold census citizenship documents,Washington Times, Lean Right,"President Trump has asserted executive privilege over a host of documents related to the decision to add a citizenship question to the 2020 census, the Justice...",26,president trump assert executive privilege host document relate decision add citizenship question 2020 census justice ...,1
1049,Healthcare - moderate,73,3,Census Data Show America’s White Population Shrank for First Time in U.S. History,Wall Street Journal (News),moderate,The first detailed results of the 2020 census show that the total white population shrank for the first time in the nation’s history as the U.S. diversified...,27,detailed result 2020 census total white population shrink time nation history u.s. diversify ...,1
1050,Healthcare- Left,73,2,The Supreme Court Knows Trump’s Nativist Census Scheme Is Unconstitutional,Slate, Left,"But the conservative justices might not intervene until it’s too late.

Three weeks before he leaves office, Donald Trump plans to punish states with large...",25,conservative justice intervene ’ late week leave office donald trump plan punish state large ...,1
1051,History of Media Bias- Lean Right,74,4,Going To Gender Jail,The American Conservative, Lean Right,"Over the years, you’ve probably heard transgender activists and their allies argue in some form that their bodies are a prison preventing them from becoming...",25,year probably hear transgender activist ally argue form body prison prevent ...,1
1052,History of Media Bias - moderate,74,3,United States issues its 1st passport with ‘X’ gender marker,Associated Press,moderate,"The United States has issued its first passport with an “X” gender designation, marking a milestone in the recognition of the rights of people who do not...",27,united states issue passport x gender designation mark milestone recognition right people ...,1
1053,History of Media Bias- Left,74,2,America's Only LGBTQ Historic District Is Falling Apart,Vice, Left,"One of North America’s first openly lesbian poets launched her career by pissing off H.P. Lovecraft.

In 1918, at the age of 19, Elsa Gidlow started...",26,north america openly lesbian poet launch career piss h.p. lovecraft 1918 age 19 elsa gidlow start ...,1
1054,History of Media Bias- Lean Right,74,4,Associated Press lied about pro-Dave Chappelle comedian at Netflix protest,Washington Examiner, Lean Right,The Associated Press published a story this week about a small protest outside Netflix’s headquarters that was held in response to the company’s...,23,associated press publish story week small protest outside netflix headquarters hold response company ...,1
1055,History of Media Bias - moderate,74,3,Perspectives: Dave Chappelle Protests,AllSides Headline Roundup,moderate,Dozens of Netflix employees joined more than a hundred supporters and trans activists in Los Angeles on Wednesday to protest Dave Chappelle's most recent stand...,25,dozen netflix employee join supporter trans activist los angeles wednesday protest dave chappelle recent stand ...,1
1056,History of Media Bias- Lean Left,74,1,"More Americans understand LGBTQ people, but visibility has 'double-edged sword', GLAAD report says",USA TODAY, Lean Left,"More and more people are identifying as members of the LGBTQ community. Increased visibility educates non-LGBTQ people, but it also ...",21,people identify member lgbtq community increased visibility educate non lgbtq people ...,1
1057,History of Media Bias- Lean Right,74,4,Associated Press lied about pro-Dave Chappelle comedian at Netflix protest,Washington Examiner, Lean Right,The Associated Press published a story this week about a small protest outside Netflix’s headquarters that was held in response to the company’s...,23,associated press publish story week small protest outside netflix headquarters hold response company ...,1
1058,History of Media Bias - moderate,74,3,Protesters Gather at Netflix Office Amid Controversy Over Dave Chappelle Special,Wall Street Journal (News),moderate,A group of protesters gathered outside one of Netflix Inc.’s NFLX 1.78% Los Angeles offices Wednesday to express anger over the...,21,group protester gather outside netflix inc. nflx 1.78 los angeles office wednesday express anger ...,1
1059,History of Media Bias- Left,74,2,Virginia governor election poised to cripple trans rights in America,MSNBC, Left,"On Tuesday, Virginia residents will go to the polls to elect state legislators and decide who will be the next occupant of the governor’s mansion. The race...",27,tuesday virginia resident poll elect state legislator decide occupant governor mansion race ...,1
1060,History of Media Bias- Lean Right,74,4,YouTube suspends Steven Crowder for transgender 'hate speech',Washington Examiner, Lean Right,"Steven Crowder, a conservative YouTuber and political commentator, had his YouTube channel suspended for one week Wednesday for allegedly violating the...",21,steven crowder conservative youtuber political commentator youtube channel suspend week wednesday allegedly violate ...,1
1061,History of Media Bias - moderate,74,3,Protesters Gather at Netflix Office Amid Controversy Over Dave Chappelle Special,Wall Street Journal (News),moderate,A group of protesters gathered outside one of Netflix Inc.’s NFLX -2.17% Los Angeles offices Wednesday to express anger over the...,21,group protester gather outside netflix inc. nflx -2.17 los angeles office wednesday express anger ...,1
1062,History of Media Bias- Left,74,2,Netflix Employees Stage Dave Chappelle Walkout: ‘Lives Are at Stake’,Daily Beast, Left,"Netflix has a storm on its hands.

Hundreds of protesters stood in solidarity with the streaming giant’s employees, who staged a walkout on Wednesday morning...",25,netflix storm hand protester stand solidarity streaming giant employee stage walkout wednesday morning ...,1
1063,History of Media Bias- Right,74,5,Netflix Responds To Far-Left Outrage Over Dave Chappelle: We Support His ‘Artistic Freedom’,The Daily Wire, Right,"Netflix co-CEO Ted Sarandos addressed outrage from some inside the company over a new comedy special featuring legendary comedian Dave Chappelle, saying that...",23,netflix co ceo ted sarandos address outrage inside company new comedy special feature legendary comedian dave chappelle ...,1
1064,History of Media Bias - moderate,74,3,Perspectives: Dave Chappelle's Controversial Netflix Special,AllSides Headline Roundup,moderate,Dave Chappelle’s latest Netflix comedy special has been at the epicenter of controversy due to a series of jokes about gender issues and the LGBTQ community. ...,27,dave chappelle late netflix comedy special epicenter controversy series joke gender issue lgbtq community ...,1
1065,History of Media Bias- Lean Left,74,1,Opinion on the use of puberty blockers in America is turning,The Economist, Lean Left,"Worries about the use of puberty blockers, which are prescribed to some children to prevent the development of secondary sex characteristics (like breasts...",23,worry use puberty blocker prescribe child prevent development secondary sex characteristic like breast ...,1
1066,Holidays- Lean Right,75,4,"Pentagon Faces Class-Action Lawsuit Over Vaccine Mandates on Military, Federal Employees and Contractors",The Epoch Times, Lean Right,"Service members from all five branches of the U.S. military, federal employees, and federal civilian contractors have joined in a class-action lawsuit...",22,service member branch u.s. military federal employee federal civilian contractor join class action lawsuit ...,1
1067,Holidays - moderate,75,3,Watchdog finds no misconduct in mistaken Afghan airstrike,Associated Press,moderate,An independent Pentagon review has concluded that the U.S. drone strike that killed innocent Kabul civilians and children in the final days of the Afghanistan...,25,independent pentagon review conclude u.s. drone strike kill innocent kabul civilian child final day afghanistan ...,1
1068,Holidays- Left,75,2,Latest US military hypersonic test fails,CNN (Online News), Left,"The US suffered a setback in the race with China and Russia to develop hypersonic weapons when its latest test failed, the Pentagon said in a...",26,suffer setback race china russia develop hypersonic weapon late test fail pentagon ...,1
1069,Holidays- Lean Right,75,4,The Generals Contradict Biden on Afghanistan,Wall Street Journal (Opinion), Lean Right,"President Biden hopes the political fallout from his botched Afghanistan withdrawal will fade quickly, but Tuesday’s Senate hearing with the secretary of...",22,president biden hope political fallout botch afghanistan withdrawal fade quickly tuesday senate hearing secretary ...,0
1070,Holidays - moderate,75,3,"China Likely to Have ‘At Least’ 1,000 Nukes by 2030, Pentagon Estimates",Defense One,moderate,A new report says China’s nuclear arsenal is likely to be far bigger than the Pentagon predicted last year—the latest sign of what Joint Chiefs Chairman Gen....,27,new report china nuclear arsenal likely far big pentagon predict year — late sign joint chiefs chairman gen ....,1
1071,Holidays- Lean Left,75,1,The big hole in Christopher Steele’s defense of himself,Washington Post, Lean Left,"It’s not really clear what the utility is of Christopher Steele speaking out now, long after his dossier of unverified claims about Donald Trump and Russia...",26,’ clear utility christopher steele speak long dossier unverified claim donald trump russia ...,1
1072,Holidays- Lean Right,75,4,House Passes $768 Billion Defense Spending Bill,The Epoch Times, Lean Right,"The Democratic-controlled House of Representatives on Thursday passed its version of a $768 billion defense policy bill for the 2022 fiscal year.

The vote...",24,democratic control house representatives thursday pass version 768 billion defense policy bill 2022 fiscal year vote ...,1
1073,Holidays - moderate,75,3,"U.S. airstrike kills senior al-Qaeda leader in Syria, DOD says",Axios,moderate,"A U.S. airstrike in northwest Syria on Friday killed senior al-Qaeda leader Abdul Hamid al-Matar, U.S. Central Command said in a statement.

Why it...",24,u.s. airstrike northwest syria friday kill senior al qaeda leader abdul hamid al matar u.s. central command statement ...,1
1074,Holidays- Left,75,2,US Empire Is Lining the Pockets of Defense Contractors,Jacobin, Left,The costs and consequences of the United States’s twenty-first-century wars have by now been well-documented — a staggering $8 trillion in expenditures and...,23,cost consequence united states century war document — staggering 8 trillion expenditure ...,1
1075,Holidays- Right,75,5,A Tale of Two Drone Strikes,National Review, Right,"When then-President Trump ordered a strike that killed two leaders of two terrorist organizations with zero collateral damage, many in the media, academia...",23,president trump order strike kill leader terrorist organization zero collateral damage medium academia ...,1
1076,Holidays - moderate,75,3,The family of the 10 Afghans the Pentagon accidentally killed in a drone strike say the US hasn't offered them any compensation,Insider,moderate,"The family of 10 Afghans killed in error by a US drone strike last month said the US hasn't offered them any compensation, CNN reported.

Ten...",26,family 10 afghans kill error drone strike month offer compensation cnn report ...,1
1077,Holidays- Lean Left,75,1,Defense officials just debunked much of the criticism of Biden’s Afghanistan withdrawal,Jennifer Rubin, Lean Left,Testimony from Defense Secretary Lloyd Austin and Chairman of the Joint Chiefs of Staff Gen. Mark A. Milley before the Senate Armed...,22,testimony defense secretary lloyd austin chairman joint chiefs staff gen. mark a. milley senate armed ...,1
1078,Holidays- Right,75,5,Gen. Mark Milley: ‘Routine’ Calls to China ‘Perfectly’ Within Scope of Job,Breitbart News, Right,Gen. Mark Milley said Friday calls to his Communist Chinese counterpart in the last days of Donald Trump’s presidency were “routine” and fell “perfectly...,24,gen. mark milley friday communist chinese counterpart day donald trump presidency routine fall perfectly ...,1
1079,Holidays - moderate,75,3,Generals Contradict Biden on Afghanistan Advice,FactCheck.org,moderate,"Joint Chiefs of Staff Chair Gen. Mark Milley and Gen. Kenneth McKenzie, commander of U.S. Central Command, contradicted President Joe Biden’s claim last month...",24,joint chiefs staff chair gen. mark milley gen. kenneth mckenzie commander u.s. central command contradict president joe biden claim month ...,0
1080,Holidays- Left,75,2,The US military needs to do more than apologize for its deadly 'mistake' in Kabul,CNN (Opinion), Left,"On August 29, a US drone strike killed 10 members of one family in Kabul. That same day, the Pentagon announced that the operation successfully...",25,august 29 drone strike kill 10 member family kabul day pentagon announce operation successfully ...,1
1081,Homeland Security- Lean Right,76,4,VA: Religious Exemption Requests for Vaccine Won't Be Challenged,Newsmax (News), Lean Right,"The Department of Veteran Affairs (VA) will not challenge staff on religious exemption requests for the coronavirus vaccine, the Washington Examiner ...",22,department veteran affairs va challenge staff religious exemption request coronavirus vaccine washington examiner ...,1
1082,Homeland Security - moderate,76,3,South Carolina Republican Introduces Bill to Federally Decriminalize Marijuana,AllSides Headline Roundup,moderate,"On Monday, Rep. Nancy Mace (R-S.C.) introduced a bill that would federally decriminalize marijuana. The proposal, titled the States Reform Act, would remove...",23,monday rep. nancy mace r s.c. introduce bill federally decriminalize marijuana proposal title states reform act remove ...,1
1083,Homeland Security- Left,76,2,"California And NYC Public Employees, As Well As VA Health Workers, Have New Vaccine Mandates",BuzzFeed News, Left,"In a bid to counter what some officials have described as a “pandemic of the unvaccinated,” the most populous US state, the country's largest city,...",25,bid counter official describe pandemic unvaccinated populous state country large city ...,1
1084,Homeland Security- Lean Right,76,4,America’s Veterans Are Killing Themselves at an Alarming Rate: Report,The Epoch Times, Lean Right,"After an improvised explosive device (IED) left Army Sgt. Dominic McDaniel severely injured and unable to continue fighting in Iraq, the wounded combat veteran...",24,improvise explosive device ied leave army sgt dominic mcdaniel severely injured unable continue fight iraq wound combat veteran ...,1
1085,Homeland Security - moderate,76,3,White House unveils effort to address military toxic exposures,Axios,moderate,"The White House on Thursday announced a new strategy to identify and treat health issues in veterans who may have been exposed to chemical, physical...",25,white house thursday announce new strategy identify treat health issue veteran expose chemical physical ...,1
1086,Homeland Security- Lean Left,76,1,Department of Veterans Affairs requiring all medical staff to get vaccinated,CBS News (Online), Lean Left,"The Department of Veterans Affairs is requiring all medical personnel to get vaccinated against COVID-19, the first federal agency-wide mandate of its kind....",23,department veterans affairs require medical personnel vaccinate covid-19 federal agency wide mandate kind ....,1
1087,Homeland Security- Right,76,5,Biden Snaps At Female Reporter Over Question: ‘You Are Such A Pain In The Neck’,The Daily Wire, Right,President Joe Biden snapped at a female reporter on Monday after she asked a question that was not related to his meeting with Iraqi Prime Minister Mustafa Al-...,28,president joe biden snap female reporter monday ask question relate meeting iraqi prime minister mustafa al- ...,0
1088,Homeland Security - moderate,76,3,Biden announces new strategy to reduce military and veteran suicides,Axios,moderate,President Biden announced on Tuesday a new strategy to reduce military and veteran suicide that includes promoting safe firearm storage and...,21,president biden announce tuesday new strategy reduce military veteran suicide include promote safe firearm storage ...,1
1089,Homeland Security- Lean Left,76,1,'Do right by that sacrifice': Veterans serving in Congress have a Memorial Day message for Americans,USA TODAY, Lean Left,Memorial Day is a federal holiday that commemorates the lives of American troops who died in service to the country. While lawmakers across Washington...,24,memorial day federal holiday commemorate life american troop die service country lawmaker washington ...,1
1090,Homeland Security- Lean Right,76,4,"On Memorial Day, Remember Skepticism Toward a Large, Standing Military",Reason, Lean Right,"In recent years, it's become common to thank both retired and active-duty military personnel for their service – an expression met with various measures...",24,recent year common thank retired active duty military personnel service – expression meet measure ...,1
1091,Homeland Security - moderate,76,3,Cost Of Caring For Post-9/11 War Veterans Could Reach $2.5 Trillion By 2050—Report,Newsweek,moderate,"The total cost of caring for veterans who served in Afghanistan and Iraq could reach $2.5 trillion by 2050, according to a new report.

Providing benefits...",26,total cost care veteran serve afghanistan iraq reach 2.5 trillion 2050 accord new report provide benefit ...,1
1092,Homeland Security- Left,76,2,Our Government Needs to Prioritize Veteran Wellbeing Over Endless War,The Nation, Left,"“I got out of the Marines and within a few years, 15 of my buddies had killed themselves,” one veteran rifleman who served two tours in both Afghanistan and...",29,marines year 15 buddy kill veteran rifleman serve tour afghanistan ...,1
1093,Homeland Security- Right,76,5,Veterans Rip Kamala Harris for Tone Deaf Memorial Day Weekend Tweet,Breitbart News, Right,"Veterans ripped Vice President Kamala Harris for her Memorial Day weekend tweet that made no mention of the purpose of Memorial Day, which is to honor those...",27,veterans rip vice president kamala harris memorial day weekend tweet mention purpose memorial day honor ...,1
1094,Homeland Security - moderate,76,3,Will ‘BRAC for VA’ lead to veterans hospital closures or building more clinics?,Military Times,moderate,"The Defense Department’s past base closure rounds have proven complicated and contentious for lawmakers, especially in communities that lost military...",20,defense department past base closure round prove complicated contentious lawmaker especially community lose military ...,1
1095,Homeland Security- Lean Left,76,1,Disabled Veteran Sentenced To Prison Time In Alabama For Legally-Obtained Cannabis,High Times, Lean Left,"At a time when America is trying to right its wrongs when it comes to the treatment of people of color and the war on drugs over the past few centuries, a...",32,time america try right wrong come treatment people color war drug past century ...,1
1096,Housing and Homelessness- Lean Right,77,4,How Biden's infrastructure victory lap could disappoint Democrats,Washington Examiner, Lean Right,"President Joe Biden launched a publicity tour touting his newly passed $1.2 trillion bipartisan infrastructure bill, but political operatives in both...",21,president joe biden launch publicity tour tout newly pass 1.2 trillion bipartisan infrastructure bill political operative ...,0
1097,Housing and Homelessness - moderate,77,3,Biden signs $1 trillion infrastructure bill,Reuters,moderate,"In need of a political boost, President Joe Biden will sign a $1 trillion infrastructure bill on Monday at a ceremony expected to draw Democrats and some...",27,need political boost president joe biden sign 1 trillion infrastructure bill monday ceremony expect draw democrats ...,0
1098,Housing and Homelessness- Lean Left,77,1,Biden signs bipartisan infrastructure bill with Republicans on hand to celebrate win,ABC News (Online), Lean Left,"After months of negotiations, a massive bipartisan infrastructure bill that promises significant investments in every pocket of the country got...",20,month negotiation massive bipartisan infrastructure bill promise significant investment pocket country ...,1
1099,Housing and Homelessness- Lean Right,77,4,Voters Are Done With COVID-19 and Pandemic-Powered Officials,Reason, Lean Right,"Politicians have been on a high over the last year-plus, wielding extraordinary power with the approval of voters fearful of viral infection. Democrats, in...",24,politician high year plus wield extraordinary power approval voter fearful viral infection democrats ...,1
1100,Housing and Homelessness - moderate,77,3,Biden Signs $1.2T Infrastructure Bill Into Law,AllSides Headline Roundup,moderate,President Joe Biden signed his $1.2 trillion Infrastructure Investment and Jobs Act into law Monday afternoon during a ceremony on the White House South Lawn....,25,president joe biden sign 1.2 trillion infrastructure investment jobs act law monday afternoon ceremony white house south lawn ....,0
1101,Housing and Homelessness- Left,77,2,America's Only LGBTQ Historic District Is Falling Apart,Vice, Left,"One of North America’s first openly lesbian poets launched her career by pissing off H.P. Lovecraft.

In 1918, at the age of 19, Elsa Gidlow started...",26,north america openly lesbian poet launch career piss h.p. lovecraft 1918 age 19 elsa gidlow start ...,1
1102,Housing and Homelessness- Right,77,5,Here Are The Conservatives Suing Biden Over His ‘Unconstitutional’ Vaccine Coercion,The Federalist, Right,At least 19 states have already begun to legally pursue action against the Biden administration for forcing medical coercion on federal contractors...,22,19 state begin legally pursue action biden administration force medical coercion federal contractor ...,1
1103,Housing and Homelessness - moderate,77,3,Kansas Legislature edits video of public hearing to omit profane rant targeting a journalist,Poynter,moderate,"The Kansas State Legislature has altered video footage of a recent hearing to omit a profane rant targeting a journalist, raising questions about the...",24,kansas state legislature alter video footage recent hearing omit profane rant target journalist raise question ...,1
1104,Housing and Homelessness- Lean Left,77,1,Column: Biden’s in deep trouble. He can still bounce back,Los Angeles Times, Lean Left,"When Joe Biden ran for president in 2020, he had all the advantages of a nonincumbent in a year when everything had gone wrong.

Biden waged a careful,...",28,joe biden run president 2020 advantage nonincumbent year wrong biden wage careful ...,0
1105,Housing and Homelessness- Lean Right,77,4,19 States Sue Biden Administration Over COVID-19 Vaccine Mandate,The Epoch Times, Lean Right,Several U.S. states on Friday mounted multiple federal lawsuits against the Biden administration over its COVID-19 vaccine mandate for federal...,20,u.s. state friday mount multiple federal lawsuit biden administration covid-19 vaccine mandate federal ...,1
1106,Housing and Homelessness - moderate,77,3,Citizens in Advanced Economies Want Significant Changes to Their Political Systems,Pew Research Center,moderate,"As citizens around the world continue to grapple with a global pandemic and the changes it has brought to their everyday lives, many are also expressing a...",27,citizen world continue grapple global pandemic change bring everyday life express ...,1
1107,Housing and Homelessness- Lean Left,77,1,How These Ultrawealthy Politicians Avoided Paying Taxes,ProPublica, Lean Left,"As a member of Congress, Jared Polis was one of the loudest Democrats demanding President Donald Trump release his tax returns.

At a rally in Denver in 2017...",28,member congress jared polis loud democrats demand president donald trump release tax return rally denver 2017 ...,1
1108,Housing and Homelessness- Lean Right,77,4,China’s Vain Struggle For Covid Zero,The American Conservative, Lean Right,"In pursuit of the mythical Covid zero, China is now pushing vaccines on children as young as three years old.

Thus far, China has administered more than 2.2...",28,pursuit mythical covid zero china push vaccine child young year old far china administer 2.2 ...,1
1109,Housing and Homelessness - moderate,77,3,Hundreds of port workers in Italy are striking against a new vaccine mandate,Quartz,moderate,"Italy’s new covid-19 rules went into effect on Oct. 15, prompting labor strikes and protests across the country. The mandate, one of the strictest in the world...",27,italy new covid-19 rule effect oct. 15 prompt labor strike protest country mandate strict world ...,1
1110,Housing and Homelessness- Left,77,2,"As President Biden negotiates the final size and scope of the Build Back Better Act with fellow Democrats, Senator Joe Manchin of West Virginia has emerged as a major hurdle to his agenda. The conservative Democrat and his family would potentially profit ",Democracy Now, Left,"As President Biden negotiates the final size and scope of the Build Back Better Act with fellow Democrats, Senator Joe Manchin of West Virginia has emerged as...",27,president biden negotiate final size scope build better act fellow democrats senator joe manchin west virginia emerge ...,0
1111,Humor and Satire- Lean Right,78,4,Health Care Provisions of Democratic Spending Bill Would Add More than $500 Billion to the Deficit,Reason, Lean Right,"The massive Democratic spending package now working its way through Congress is not, strictly speaking, a health care bill. But it's not not a health...",25,massive democratic spending package work way congress strictly speak health care bill health ...,1
1112,Humor and Satire - moderate,78,3,A surge in the US affordable housing supply is coming from people who can’t afford their homes,Quartz,moderate,"More affordable housing is finally coming back onto the market. The pandemic-triggered housing boom in the US, which saw average prices rise 13.2%...",23,affordable housing finally come market pandemic trigger housing boom average price rise 13.2 ...,1
1113,Humor and Satire- Left,78,2,How Disabled People Are Shut Out of Housing,Vice, Left,"Cal Grevers is 28, but feels like an “eternal teenager” – infantilised by barriers that block him from moving out of his parents’ home in Edinburgh. ...",27,cal grevers 28 feel like eternal teenager – infantilise barrier block parent ’ home edinburgh ...,1
1114,Humor and Satire- Lean Right,78,4,"420,000 homeless kids went missing from schools’ rolls last year. They may never be found",Deseret News, Lean Right,"A week before school started in the sunny desert city of St. George, Utah, Mike Carr waited at the front desk of the only emergency youth shelter in this...",29,week school start sunny desert city st. george utah mike carr wait desk emergency youth shelter ...,1
1115,Humor and Satire - moderate,78,3,3-D Printed Houses Are Sprouting Near Austin as Demand for Homes Grows,Wall Street Journal (News),moderate,"A major home builder is teaming with a Texas startup to create a community of 100 3-D printed homes near Austin, gearing up for what would be by far the...",30,major home builder team texas startup create community 100 3 d print home near austin gear far ...,1
1116,Humor and Satire- Left,78,2,Democrats have no plan to fight housing inflation,Vox, Left,"Inflation has taken center stage, and the White House desperately wants its signature bill to be the solution.

On Wednesday, the Bureau of Labor...",24,inflation center stage white house desperately want signature bill solution wednesday bureau labor ...,1
1117,Humor and Satire- Right,78,5,U.S. New Home Sales Beat Expectations; Supply Near 13-Year High,One America News Network (OAN), Right,"Sales of new U.S. single-family homes increased for a second straight month in August, but demand for housing has probably peaked after a COVID-19 pandemic-...",25,sale new u.s. single family home increase second straight month august demand housing probably peak covid-19 pandemic- ...,1
1118,Humor and Satire - moderate,78,3,"In New Mexico, a wildlife refuge with urban roots",Christian Science Monitor,moderate,"From her office in the visitor center at the still-under-construction Valle de Oro National Wildlife Refuge, Jennifer Owen-White has a perfect view of the fuel...",25,office visitor center construction valle de oro national wildlife refuge jennifer owen white perfect view fuel ...,1
1119,Humor and Satire- Lean Left,78,1,Cities with empty offices see new room to expand housing,Politico, Lean Left,"To see how the Covid-19 pandemic has changed America’s downtowns, all you have to do is stand in the subway station at Times Square on a weekday...",27,covid-19 pandemic change america downtown stand subway station times square weekday ...,1
1120,Humor and Satire- Lean Right,78,4,Supreme Court ends federal eviction moratorium,New York Post (News), Lean Right,The US Supreme Court on Thursday night struck down a federal eviction moratorium that was recently extended by President Biden’s administration...,21,supreme court thursday night strike federal eviction moratorium recently extend president biden administration ...,0
1121,Humor and Satire - moderate,78,3,They didn't pay rent and stole the fridge. Pandemic spawns nightmare tenants,NPR (Online News),moderate,"Just before the pandemic, Nitin Bajaj and his wife, Nimisha Lotia, rented an apartment they own in Los Angeles to two young women.

""They were really nice to...",28,pandemic nitin bajaj wife nimisha lotia rent apartment los angeles young woman nice ...,1
1122,Humor and Satire- Left,78,2,Democrats Come To Grips With Building Back Smaller,HuffPost, Left,"Democrats have spent months trying to pass a multitrillion-dollar expansion of government programs designed to help families, lift people out of poverty,...",22,democrats spend month try pass multitrillion dollar expansion government program design help family lift people poverty ...,1
1123,Humor and Satire- Right,78,5,‘The Court’s Hands Are Tied’: Federal Judge Upholds New Eviction Moratorium,The Daily Caller, Right,"A federal judge ruled Friday that the Biden administration could continue to enforce its new eviction moratorium, but cast doubt on its legality.

District...",24,federal judge rule friday biden administration continue enforce new eviction moratorium cast doubt legality district ...,1
1124,Humor and Satire - moderate,78,3,"Here’s what’s in Democrats’ big social-spending bill, as community college, key climate program seen nixed",MarketWatch,moderate,"Negotiations continue among Democratic moderates and progressives over President Joe Biden’s “Build Back Better” plan, a sweeping proposal targeting “human...",20,negotiation continue democratic moderate progressive president joe biden build better plan sweeping proposal target human ...,0
